sample_id,source_task_id,owner_label,target,sample_kind,split,event_id,anchor_time,original_v10_time,lead_bars,lead_minutes,causal_start_time,box_start_time,box_end_time,box_span_bars,box_xc,box_yc,box_w,box_h,image_rel,label_rel
neg_eth3m_20260320T100600Z_t162,162,不是,0,owner_no_hard_negative,train,15,2026-03-20T10:06:00+00:00,2026-03-20T10:06:00+00:00,0,0,2026-03-20T00:09:00+00:00,,,0,,,,,images/train/neg_eth3m_20260320T100600Z_t162.png,labels/train/neg_eth3m_20260320T100600Z_t162.txt
pos_eth3m_20260321T232100Z_t085,85,是,1,owner_yes_early_anchor,train,16,2026-03-21T23:21:00+00:00,2026-03-22T00:00:00+00:00,13,39,2026-03-21T13:24:00+00:00,2026-03-21T23:09:00+00:00,2026-03-21T23:21:00+00:00,5,0.98046875,0.5296495956873315,0.0328125,0.04582210242587601,images/train/pos_eth3m_20260321T232100Z_t085.png,labels/train/pos_eth3m_20260321T232100Z_t085.txt
pos_eth3m_20260322T073300Z_t044,44,是,1,owner_yes_early_anchor,train,17,2026-03-22T07:33:00+00:00,2026-03-22T07:45:00+00:00,4,12,2026-03-21T21:36:00+00:00,2026-03-22T07:09:00+00:00,2026-03-22T07:33:00+00:00,9,0.970703125,0.4420485175202156,0.05234375,0.07547169811320754,images/train/pos_eth3m_20260322T073300Z_t044.png,labels/train/pos_eth3m_20260322T073300Z_t044.txt
pos_eth3m_20260322T074500Z_t023,23,是,1,owner_yes_early_anchor,train,17,2026-03-22T07:45:00+00:00,2026-03-22T08:24:00+00:00,13,39,2026-03-21T21:48:00+00:00,2026-03-22T07:33:00+00:00,2026-03-22T07:45:00+00:00,5,0.98046875,0.4440700808625337,0.0328125,0.07142857142857142,images/train/pos_eth3m_20260322T074500Z_t023.png,labels/train/pos_eth3m_20260322T074500Z_t023.txt
neg_eth3m_20260322T083300Z_t144,144,不是,0,owner_no_hard_negative,train,17,2026-03-22T08:33:00+00:00,2026-03-22T08:33:00+00:00,0,0,2026-03-21T22:36:00+00:00,,,0,,,,,images/train/neg_eth3m_20260322T083300Z_t144.png,labels/train/neg_eth3m_20260322T083300Z_t144.txt
pos_eth3m_20260322T180000Z_t013,13,是,1,owner_yes_early_anchor,train,18,2026-03-22T18:00:00+00:00,2026-03-22T18:36:00+00:00,12,36,2026-03-22T08:03:00+00:00,2026-03-22T17:48:00+00:00,2026-03-22T18:00:00+00:00,5,0.98046875,0.5397574123989218,0.0328125,0.02021563342318059,images/train/pos_eth3m_20260322T180000Z_t013.png,labels/train/pos_eth3m_20260322T180000Z_t013.txt
pos_eth3m_20260322T180300Z_t141,141,是,1,owner_yes_early_anchor,train,18,2026-03-22T18:03:00+00:00,2026-03-22T18:39:00+00:00,12,36,2026-03-22T08:06:00+00:00,2026-03-22T17:51:00+00:00,2026-03-22T18:03:00+00:00,5,0.98046875,0.5397574123989218,0.0328125,0.022911051212938006,images/train/pos_eth3m_20260322T180300Z_t141.png,labels/train/pos_eth3m_20260322T180300Z_t141.txt
pos_eth3m_20260322T184200Z_t185,185,是,1,owner_yes_early_anchor,train,18,2026-03-22T18:42:00+00:00,2026-03-22T19:18:00+00:00,12,36,2026-03-22T08:45:00+00:00,2026-03-22T18:30:00+00:00,2026-03-22T18:42:00+00:00,5,0.98046875,0.5269541778975741,0.0328125,0.07547169811320754,images/train/pos_eth3m_20260322T184200Z_t185.png,labels/train/pos_eth3m_20260322T184200Z_t185.txt
neg_eth3m_20260322T191500Z_t196,196,不是,0,owner_no_hard_negative,train,18,2026-03-22T19:15:00+00:00,2026-03-22T19:15:00+00:00,0,0,2026-03-22T09:18:00+00:00,,,0,,,,,images/train/neg_eth3m_20260322T191500Z_t196.png,labels/train/neg_eth3m_20260322T191500Z_t196.txt
neg_eth3m_20260322T210900Z_t186,186,不是,0,owner_no_hard_negative,train,19,2026-03-22T21:09:00+00:00,2026-03-22T21:09:00+00:00,0,0,2026-03-22T11:12:00+00:00,,,0,,,,,images/train/neg_eth3m_20260322T210900Z_t186.png,labels/train/neg_eth3m_20260322T210900Z_t186.txt
neg_eth3m_20260322T211800Z_t175,175,不是,0,owner_no_hard_negative,train,19,2026-03-22T21:18:00+00:00,2026-03-22T21:18:00+00:00,0,0,2026-03-22T11:21:00+00:00,,,0,,,,,images/train/neg_eth3m_20260322T211800Z_t175.png,labels/train/neg_eth3m_20260322T211800Z_t175.txt
neg_eth3m_20260323T003300Z_t128,128,不是,0,owner_no_hard_negative,train,20,2026-03-23T00:33:00+00:00,2026-03-23T00:33:00+00:00,0,0,2026-03-22T14:36:00+00:00,,,0,,,,,images/train/neg_eth3m_20260323T003300Z_t128.png,labels/train/neg_eth3m_20260323T003300Z_t128.txt
neg_eth3m_20260323T003600Z_t115,115,不是,0,owner_no_hard_negative,train,20,2026-03-23T00:36:00+00:00,2026-03-23T00:36:00+00:00,0,0,2026-03-22T14:39:00+00:00,,,0,,,,,images/train/neg_eth3m_20260323T003600Z_t115.png,labels/train/neg_eth3m_20260323T003600Z_t115.txt
pos_eth3m_20260323T062100Z_t151,151,是,1,owner_yes_early_anchor,train,21,2026-03-23T06:21:00+00:00,2026-03-23T06:36:00+00:00,5,15,2026-03-22T20:24:00+00:00,2026-03-23T05:57:00+00:00,2026-03-23T06:21:00+00:00,9,0.970703125,0.42048517520215634,0.05234375,0.10242587601078167,images/train/pos_eth3m_20260323T062100Z_t151.png,labels/train/pos_eth3m_20260323T062100Z_t151.txt
neg_eth3m_20260323T070300Z_t050,50,不是,0,owner_no_hard_negative,train,21,2026-03-23T07:03:00+00:00,2026-03-23T07:03:00+00:00,0,0,2026-03-22T21:06:00+00:00,,,0,,,,,images/train/neg_eth3m_20260323T070300Z_t050.png,labels/train/neg_eth3m_20260323T070300Z_t050.txt
pos_eth3m_20260324T130900Z_t086,86,是,1,owner_yes_early_anchor,train,22,2026-03-24T13:09:00+00:00,2026-03-24T13:45:00+00:00,12,36,2026-03-24T03:12:00+00:00,2026-03-24T12:57:00+00:00,2026-03-24T13:09:00+00:00,5,0.98046875,0.44002695417789756,0.0328125,0.06334231805929919,images/train/pos_eth3m_20260324T130900Z_t086.png,labels/train/pos_eth3m_20260324T130900Z_t086.txt
pos_eth3m_20260324T131200Z_t155,155,是,1,owner_yes_early_anchor,train,22,2026-03-24T13:12:00+00:00,2026-03-24T13:48:00+00:00,12,36,2026-03-24T03:15:00+00:00,2026-03-24T13:00:00+00:00,2026-03-24T13:12:00+00:00,5,0.98046875,0.4393530997304582,0.0328125,0.06199460916442048,images/train/pos_eth3m_20260324T131200Z_t155.png,labels/train/pos_eth3m_20260324T131200Z_t155.txt
pos_eth3m_20260324T134500Z_t161,161,是,1,owner_yes_early_anchor,train,22,2026-03-24T13:45:00+00:00,2026-03-24T14:21:00+00:00,12,36,2026-03-24T03:48:00+00:00,2026-03-24T13:33:00+00:00,2026-03-24T13:45:00+00:00,5,0.98046875,0.46765498652291104,0.0328125,0.09973045822102426,images/train/pos_eth3m_20260324T134500Z_t161.png,labels/train/pos_eth3m_20260324T134500Z_t161.txt
neg_eth3m_20260324T142400Z_t195,195,不是,0,owner_no_hard_negative,train,22,2026-03-24T14:24:00+00:00,2026-03-24T14:24:00+00:00,0,0,2026-03-24T04:27:00+00:00,,,0,,,,,images/train/neg_eth3m_20260324T142400Z_t195.png,labels/train/neg_eth3m_20260324T142400Z_t195.txt
neg_eth3m_20260324T171500Z_t147,147,不是,0,owner_no_hard_negative,train,23,2026-03-24T17:15:00+00:00,2026-03-24T17:15:00+00:00,0,0,2026-03-24T07:18:00+00:00,,,0,,,,,images/train/neg_eth3m_20260324T171500Z_t147.png,labels/train/neg_eth3m_20260324T171500Z_t147.txt
neg_eth3m_20260325T123000Z_t014,14,不是,0,owner_no_hard_negative,train,24,2026-03-25T12:30:00+00:00,2026-03-25T12:30:00+00:00,0,0,2026-03-25T02:33:00+00:00,,,0,,,,,images/train/neg_eth3m_20260325T123000Z_t014.png,labels/train/neg_eth3m_20260325T123000Z_t014.txt
pos_eth3m_20260325T143900Z_t083,83,是,1,owner_yes_early_anchor,train,25,2026-03-25T14:39:00+00:00,2026-03-25T15:15:00+00:00,12,36,2026-03-25T04:42:00+00:00,2026-03-25T14:27:00+00:00,2026-03-25T14:39:00+00:00,5,0.98046875,0.4642857142857143,0.0328125,0.0444743935309973,images/train/pos_eth3m_20260325T143900Z_t083.png,labels/train/pos_eth3m_20260325T143900Z_t083.txt
pos_eth3m_20260325T144200Z_t127,127,是,1,owner_yes_early_anchor,train,25,2026-03-25T14:42:00+00:00,2026-03-25T15:18:00+00:00,12,36,2026-03-25T04:45:00+00:00,2026-03-25T14:30:00+00:00,2026-03-25T14:42:00+00:00,5,0.98046875,0.46630727762803237,0.0328125,0.04043126684636118,images/train/pos_eth3m_20260325T144200Z_t127.png,labels/train/pos_eth3m_20260325T144200Z_t127.txt
neg_eth3m_20260325T151200Z_t037,37,不是,0,owner_no_hard_negative,train,25,2026-03-25T15:12:00+00:00,2026-03-25T15:12:00+00:00,0,0,2026-03-25T05:15:00+00:00,,,0,,,,,images/train/neg_eth3m_20260325T151200Z_t037.png,labels/train/neg_eth3m_20260325T151200Z_t037.txt
pos_eth3m_20260326T014200Z_t139,139,是,1,owner_yes_early_anchor,train,26,2026-03-26T01:42:00+00:00,2026-03-26T02:15:00+00:00,11,33,2026-03-25T15:45:00+00:00,2026-03-26T01:30:00+00:00,2026-03-26T01:42:00+00:00,5,0.98046875,0.5276280323450134,0.0328125,0.04177897574123989,images/train/pos_eth3m_20260326T014200Z_t139.png,labels/train/pos_eth3m_20260326T014200Z_t139.txt
pos_eth3m_20260326T015700Z_t199,199,是,1,owner_yes_early_anchor,train,26,2026-03-26T01:57:00+00:00,2026-03-26T02:30:00+00:00,11,33,2026-03-25T16:00:00+00:00,2026-03-26T01:45:00+00:00,2026-03-26T01:57:00+00:00,5,0.98046875,0.532345013477089,0.0328125,0.03773584905660377,images/train/pos_eth3m_20260326T015700Z_t199.png,labels/train/pos_eth3m_20260326T015700Z_t199.txt
neg_eth3m_20260326T055100Z_t005,5,不是,0,owner_no_hard_negative,train,27,2026-03-26T05:51:00+00:00,2026-03-26T05:51:00+00:00,0,0,2026-03-25T19:54:00+00:00,,,0,,,,,images/train/neg_eth3m_20260326T055100Z_t005.png,labels/train/neg_eth3m_20260326T055100Z_t005.txt
neg_eth3m_20260326T055700Z_t120,120,不是,0,owner_no_hard_negative,train,27,2026-03-26T05:57:00+00:00,2026-03-26T05:57:00+00:00,0,0,2026-03-25T20:00:00+00:00,,,0,,,,,images/train/neg_eth3m_20260326T055700Z_t120.png,labels/train/neg_eth3m_20260326T055700Z_t120.txt
neg_eth3m_20260326T093600Z_t100,100,不是,0,owner_no_hard_negative,train,28,2026-03-26T09:36:00+00:00,2026-03-26T09:36:00+00:00,0,0,2026-03-25T23:39:00+00:00,,,0,,,,,images/train/neg_eth3m_20260326T093600Z_t100.png,labels/train/neg_eth3m_20260326T093600Z_t100.txt
neg_eth3m_20260326T182100Z_t068,68,不是,0,owner_no_hard_negative,train,29,2026-03-26T18:21:00+00:00,2026-03-26T18:21:00+00:00,0,0,2026-03-26T08:24:00+00:00,,,0,,,,,images/train/neg_eth3m_20260326T182100Z_t068.png,labels/train/neg_eth3m_20260326T182100Z_t068.txt
neg_eth3m_20260327T040900Z_t114,114,不是,0,owner_no_hard_negative,train,30,2026-03-27T04:09:00+00:00,2026-03-27T04:09:00+00:00,0,0,2026-03-26T18:12:00+00:00,,,0,,,,,images/train/neg_eth3m_20260327T040900Z_t114.png,labels/train/neg_eth3m_20260327T040900Z_t114.txt
neg_eth3m_20260327T041200Z_t112,112,不是,0,owner_no_hard_negative,train,30,2026-03-27T04:12:00+00:00,2026-03-27T04:12:00+00:00,0,0,2026-03-26T18:15:00+00:00,,,0,,,,,images/train/neg_eth3m_20260327T041200Z_t112.png,labels/train/neg_eth3m_20260327T041200Z_t112.txt
pos_eth3m_20260327T081500Z_t174,174,是,1,owner_yes_early_anchor,train,31,2026-03-27T08:15:00+00:00,2026-03-27T08:39:00+00:00,8,24,2026-03-26T22:18:00+00:00,2026-03-27T08:03:00+00:00,2026-03-27T08:15:00+00:00,5,0.98046875,0.46630727762803237,0.0328125,0.0673854447439353,images/train/pos_eth3m_20260327T081500Z_t174.png,labels/train/pos_eth3m_20260327T081500Z_t174.txt
pos_eth3m_20260327T101200Z_t146,146,是,1,owner_yes_early_anchor,train,32,2026-03-27T10:12:00+00:00,2026-03-27T10:48:00+00:00,12,36,2026-03-27T00:15:00+00:00,2026-03-27T10:00:00+00:00,2026-03-27T10:12:00+00:00,5,0.98046875,0.5350404312668463,0.0328125,0.14824797843665768,images/train/pos_eth3m_20260327T101200Z_t146.png,labels/train/pos_eth3m_20260327T101200Z_t146.txt
pos_eth3m_20260327T101500Z_t171,171,是,1,owner_yes_early_anchor,train,32,2026-03-27T10:15:00+00:00,2026-03-27T10:45:00+00:00,10,30,2026-03-27T00:18:00+00:00,2026-03-27T10:03:00+00:00,2026-03-27T10:15:00+00:00,5,0.98046875,0.5363881401617251,0.0328125,0.1509433962264151,images/train/pos_eth3m_20260327T101500Z_t171.png,labels/train/pos_eth3m_20260327T101500Z_t171.txt
neg_eth3m_20260327T104200Z_t061,61,不是,0,owner_no_hard_negative,train,32,2026-03-27T10:42:00+00:00,2026-03-27T10:42:00+00:00,0,0,2026-03-27T00:45:00+00:00,,,0,,,,,images/train/neg_eth3m_20260327T104200Z_t061.png,labels/train/neg_eth3m_20260327T104200Z_t061.txt
pos_eth3m_20260328T210900Z_t187,187,是,1,owner_yes_early_anchor,train,33,2026-03-28T21:09:00+00:00,2026-03-28T21:51:00+00:00,14,42,2026-03-28T11:12:00+00:00,2026-03-28T20:57:00+00:00,2026-03-28T21:09:00+00:00,5,0.98046875,0.5033692722371967,0.0328125,0.04177897574123989,images/train/pos_eth3m_20260328T210900Z_t187.png,labels/train/pos_eth3m_20260328T210900Z_t187.txt
pos_eth3m_20260328T211800Z_t064,64,是,1,owner_yes_early_anchor,train,33,2026-03-28T21:18:00+00:00,2026-03-28T21:54:00+00:00,12,36,2026-03-28T11:21:00+00:00,2026-03-28T21:06:00+00:00,2026-03-28T21:18:00+00:00,5,0.98046875,0.5033692722371967,0.0328125,0.03638814016172507,images/train/pos_eth3m_20260328T211800Z_t064.png,labels/train/pos_eth3m_20260328T211800Z_t064.txt
neg_eth3m_20260328T232100Z_t150,150,不是,0,owner_no_hard_negative,train,34,2026-03-28T23:21:00+00:00,2026-03-28T23:21:00+00:00,0,0,2026-03-28T13:24:00+00:00,,,0,,,,,images/train/neg_eth3m_20260328T232100Z_t150.png,labels/train/neg_eth3m_20260328T232100Z_t150.txt
pos_eth3m_20260329T123600Z_t168,168,是,1,owner_yes_early_anchor,train,35,2026-03-29T12:36:00+00:00,2026-03-29T13:12:00+00:00,12,36,2026-03-29T02:39:00+00:00,2026-03-29T12:24:00+00:00,2026-03-29T12:36:00+00:00,5,0.98046875,0.5256064690026954,0.0328125,0.0431266846361186,images/train/pos_eth3m_20260329T123600Z_t168.png,labels/train/pos_eth3m_20260329T123600Z_t168.txt
pos_eth3m_20260329T220000Z_t055,55,是,1,owner_yes_early_anchor,train,36,2026-03-29T22:00:00+00:00,2026-03-29T22:09:00+00:00,3,9,2026-03-29T12:03:00+00:00,2026-03-29T21:30:00+00:00,2026-03-29T22:00:00+00:00,11,0.965625,0.46765498652291104,0.0625,0.08355795148247978,images/train/pos_eth3m_20260329T220000Z_t055.png,labels/train/pos_eth3m_20260329T220000Z_t055.txt
neg_eth3m_20260329T225400Z_t170,170,不是,0,owner_no_hard_negative,train,36,2026-03-29T22:54:00+00:00,2026-03-29T22:54:00+00:00,0,0,2026-03-29T12:57:00+00:00,,,0,,,,,images/train/neg_eth3m_20260329T225400Z_t170.png,labels/train/neg_eth3m_20260329T225400Z_t170.txt
neg_eth3m_20260330T144200Z_t084,84,不是,0,owner_no_hard_negative,train,37,2026-03-30T14:42:00+00:00,2026-03-30T14:42:00+00:00,0,0,2026-03-30T04:45:00+00:00,,,0,,,,,images/train/neg_eth3m_20260330T144200Z_t084.png,labels/train/neg_eth3m_20260330T144200Z_t084.txt
pos_eth3m_20260330T164800Z_t136,136,是,1,owner_yes_early_anchor,train,38,2026-03-30T16:48:00+00:00,2026-03-30T17:24:00+00:00,12,36,2026-03-30T06:51:00+00:00,2026-03-30T16:36:00+00:00,2026-03-30T16:48:00+00:00,5,0.98046875,0.4440700808625337,0.0328125,0.05256064690026954,images/train/pos_eth3m_20260330T164800Z_t136.png,labels/train/pos_eth3m_20260330T164800Z_t136.txt
pos_eth3m_20260330T165100Z_t063,63,是,1,owner_yes_early_anchor,train,38,2026-03-30T16:51:00+00:00,2026-03-30T17:27:00+00:00,12,36,2026-03-30T06:54:00+00:00,2026-03-30T16:39:00+00:00,2026-03-30T16:51:00+00:00,5,0.98046875,0.4481132075471698,0.0328125,0.04716981132075472,images/train/pos_eth3m_20260330T165100Z_t063.png,labels/train/pos_eth3m_20260330T165100Z_t063.txt
pos_eth3m_20260330T170300Z_t047,47,是,1,owner_yes_early_anchor,train,38,2026-03-30T17:03:00+00:00,2026-03-30T17:36:00+00:00,11,33,2026-03-30T07:06:00+00:00,2026-03-30T16:51:00+00:00,2026-03-30T17:03:00+00:00,5,0.98046875,0.4568733153638814,0.0328125,0.03504043126684636,images/train/pos_eth3m_20260330T170300Z_t047.png,labels/train/pos_eth3m_20260330T170300Z_t047.txt
